Year of Date,Month of Date,Measure Names,Site,Measure Values
2005,October,Average Conductivity (μS/cm),Site 05,86.56666667
2005,September,Average Conductivity (μS/cm),Site 05,74.7
2005,August,Average Conductivity (μS/cm),Site 05,55.36666667
2005,July,Average Conductivity (μS/cm),Site 05,80.43333333
2005,June,Average Conductivity (μS/cm),Site 05,97.36666667
2005,May,Average Conductivity (μS/cm),Site 05,57.86666667
2005,December,Average Conductivity (μS/cm),Site 04,151.1333333
2005,November,Average Conductivity (μS/cm),Site 04,157.4333333
2005,October,Average Conductivity (μS/cm),Site 04,63.3
2005,September,Average Conductivity (μS/cm),Site 04,53.7
2005,August,Average Conductivity (μS/cm),Site 04,57.13333333
2005,July,Average Conductivity (μS/cm),Site 04,54.7
2005,June,Average Conductivity (μS/cm),Site 04,66.1
2005,May,Average Conductivity (μS/cm),Site 04,49.4
2005,December,Average Conductivity (μS/cm),Site 03,71.06666667
2005,November,Average Conductivity (μS/cm),Site 03,78.66666667
2005,October,Average Conductivity (μS/cm),Site 03,46.3
2005,September,Average Conductivity (μS/cm),Site 03,42.56666667
2005,August,Average Conductivity (μS/cm),Site 03,33.56666667
2005,July,Average Conductivity (μS/cm),Site 03,48.83333333
2005,June,Average Conductivity (μS/cm),Site 03,56.1
2005,May,Average Conductivity (μS/cm),Site 03,43.96666667
2005,December,Average Conductivity (μS/cm),Site 02,75.46666667
2005,November,Average Conductivity (μS/cm),Site 02,78.16666667
2005,October,Average Conductivity (μS/cm),Site 02,41.43333333
2005,September,Average Conductivity (μS/cm),Site 02,39.1
2005,August,Average Conductivity (μS/cm),Site 02,39.8
2005,July,Average Conductivity (μS/cm),Site 02,42.16666667
2005,June,Average Conductivity (μS/cm),Site 02,50.03333333
2005,May,Average Conductivity (μS/cm),Site 02,38
2005,December,Average Conductivity (μS/cm),Site 01,42.53333333
2005,November,Average Conductivity (μS/cm),Site 01,37.75
2005,October,Average Conductivity (μS/cm),Site 01,36.86666667
2005,September,Average Conductivity (μS/cm),Site 01,37.76666667
2005,August,Average Conductivity (μS/cm),Site 01,40.1
2005,July,Average Conductivity (μS/cm),Site 01,30.9
2005,June,Average Conductivity (μS/cm),Site 01,34.2
2005,May,Average Conductivity (μS/cm),Site 01,29.1
2005,December,Average DO (mg/L),Site 16,13.15333333
2005,November,Average DO (mg/L),Site 16,11.09
2005,October,Average DO (mg/L),Site 16,10.05
2005,September,Average DO (mg/L),Site 16,9.24
2005,August,Average DO (mg/L),Site 16,8.696666667
2005,July,Average DO (mg/L),Site 16,7.04
2005,June,Average DO (mg/L),Site 16,17.513333334
2005,December,Average DO (mg/L),Site 15,11.75666667
2005,November,Average DO (mg/L),Site 15,9.226666667
2005,October,Average DO (mg/L),Site 15,9.563333333
2005,September,Average DO (mg/L),Site 15,9.21
2005,August,Average DO (mg/L),Site 15,8.723333333
2005,July,Average DO (mg/L),Site 15,7.94
2005,June,Average DO (mg/L),Site 15,9.47
2005,May,Average DO (mg/L),Site 15,8.845
2005,December,Average DO (mg/L),Site 13,11.95333333
2005,November,Average DO (mg/L),Site 13,9.97
2005,October,Average DO (mg/L),Site 13,16.06666667
2005,September,Average DO (mg/L),Site 13,9.853333333
2005,August,Average DO (mg/L),Site 13,8.863333333
2005,July,Average DO (mg/L),Site 13,9.08
2005,June,Average DO (mg/L),Site 13,10.47
2005,May,Average DO (mg/L),Site 13,11.19
2005,December,Average DO (mg/L),Site 12,10.86333333
2005,November,Average DO (mg/L),Site 12,10.45
2005,October,Average DO (mg/L),Site 12,9.236666667
2005,September,Average DO (mg/L),Site 12,11.78666667
2005,August,Average DO (mg/L),Site 12,8.653333333
2005,July,Average DO (mg/L),Site 12,8.643333333
2005,June,Average DO (mg/L),Site 12,9.683333333
2005,May,Average DO (mg/L),Site 12,9.923333333
2005,December,Average DO (mg/L),Site 11,10.43666667
2005,November,Average DO (mg/L),Site 11,9.416666667
2005,October,Average DO (mg/L),Site 11,9.976666667
2005,September,Average DO (mg/L),Site 11,9.71
2005,August,Average DO (mg/L),Site 11,9.076666667
2005,July,Average DO (mg/L),Site 11,9.436666667
2005,June,Average DO (mg/L),Site 11,9.78
2005,May,Average DO (mg/L),Site 11,9.64
2005,December,Average DO (mg/L),Site 10,13.81
2005,November,Average DO (mg/L),Site 10,12.47666667
2005,October,Average DO (mg/L),Site 10,8.943333333
2005,September,Average DO (mg/L),Site 10,11.01666667
2005,August,Average DO (mg/L),Site 10,7.843333333
2005,July,Average DO (mg/L),Site 10,8.75
2005,June,Average DO (mg/L),Site 10,9.023333333
2005,May,Average DO (mg/L),Site 10,10.18
2005,December,Average DO (mg/L),Site 09,11.69333333
2005,November,Average DO (mg/L),Site 09,10.69333333
2005,October,Average DO (mg/L),Site 09,10.25
2005,September,Average DO (mg/L),Site 09,10.13666667
2005,August,Average DO (mg/L),Site 09,9.02
2005,July,Average DO (mg/L),Site 09,8.676666667
2005,June,Average DO (mg/L),Site 09,9.226666667
2005,May,Average DO (mg/L),Site 09,9.54
2005,December,Average DO (mg/L),Site 08,12.07666667
2005,November,Average DO (mg/L),Site 08,11.54666667
2005,October,Average DO (mg/L),Site 08,14.64666667
2005,September,Average DO (mg/L),Site 08,9.793333333
2005,August,Average DO (mg/L),Site 08,10.08
2005,July,Average DO (mg/L),Site 08,11.94333333
2005,June,Average DO (mg/L),Site 08,7.936666667
2005,May,Average DO (mg/L),Site 08,10.64666667
2005,December,Average DO (mg/L),Site 07,10.91
2005,November,Average DO (mg/L),Site 07,9.71
2005,October,Average DO (mg/L),Site 07,8.843333333
2005,September,Average DO (mg/L),Site 07,9.18
2005,August,Average DO (mg/L),Site 07,8.816666667
2005,July,Average DO (mg/L),Site 07,7.39
2005,June,Average DO (mg/L),Site 07,8.653333333
2005,May,Average DO (mg/L),Site 07,13.82
2005,December,Average DO (mg/L),Site 06,29.33333334
2005,November,Average DO (mg/L),Site 06,9.046666667
2005,October,Average DO (mg/L),Site 06,5.08
2005,September,Average DO (mg/L),Site 06,9.703333333
2005,August,Average DO (mg/L),Site 06,8.38
2005,July,Average DO (mg/L),Site 06,
2005,June,Average DO (mg/L),Site 06,8.806666667
2005,May,Average DO (mg/L),Site 06,10.29
2005,December,Average DO (mg/L),Site 05,10.73666667
2005,November,Average DO (mg/L),Site 05,9.693333333
2005,October,Average DO (mg/L),Site 05,8.513333333
2005,September,Average DO (mg/L),Site 05,8.966666667
2005,August,Average DO (mg/L),Site 05,7.473333333
2005,July,Average DO (mg/L),Site 05,7.896666667
2005,June,Average DO (mg/L),Site 05,9.29
2005,May,Average DO (mg/L),Site 05,9.296666667
2005,December,Average DO (mg/L),Site 04,13.04666667
2005,November,Average DO (mg/L),Site 04,10.91333333
2005,October,Average DO (mg/L),Site 04,10.65666667
2005,September,Average DO (mg/L),Site 04,11.54666667
2005,August,Average DO (mg/L),Site 04,9.486666667
2005,July,Average DO (mg/L),Site 04,9.203333333
2005,June,Average DO (mg/L),Site 04,8.766666667
2005,May,Average DO (mg/L),Site 04,10.09
2005,December,Average DO (mg/L),Site 03,
2005,November,Average DO (mg/L),Site 03,5.69
2005,October,Average DO (mg/L),Site 03,10.04666667
2005,September,Average DO (mg/L),Site 03,10.19333333
2005,August,Average DO (mg/L),Site 03,9.396666667
2005,July,Average DO (mg/L),Site 03,9.043333333
2005,June,Average DO (mg/L),Site 03,9.453333333
2005,May,Average DO (mg/L),Site 03,12.26666667
2005,December,Average DO (mg/L),Site 02,11.73333333
2005,November,Average DO (mg/L),Site 02,10.88
2005,October,Average DO (mg/L),Site 02,10
2005,September,Average DO (mg/L),Site 02,9.346666667
2005,August,Average DO (mg/L),Site 02,9.51
2005,July,Average DO (mg/L),Site 02,9.28
2005,June,Average DO (mg/L),Site 02,9.443333333
2005,May,Average DO (mg/L),Site 02,10.02
2005,December,Average DO (mg/L),Site 01,16.54
2005,November,Average DO (mg/L),Site 01,11.62666667
2005,October,Average DO (mg/L),Site 01,10.70666667
2005,September,Average DO (mg/L),Site 01,15.70333333
2005,August,Average DO (mg/L),Site 01,9.03
2005,July,Average DO (mg/L),Site 01,8.816666667
2005,June,Average DO (mg/L),Site 01,10.16
2005,May,Average DO (mg/L),Site 01,15.56333333
2005,December,Average DO%,Site 16,106.1666667
2005,November,Average DO%,Site 16,97.16666667
2005,October,Average DO%,Site 16,97.96666667
2005,September,Average DO%,Site 16,94
2005,August,Average DO%,Site 16,
2005,July,Average DO%,Site 16,85.56666667
2005,June,Average DO%,Site 16,205
2005,December,Average DO%,Site 15,94.26666667
2005,November,Average DO%,Site 15,
2005,October,Average DO%,Site 15,87.8
2005,September,Average DO%,Site 15,93.5
2005,August,Average DO%,Site 15,
2005,July,Average DO%,Site 15,89
2005,June,Average DO%,Site 15,92.8
2005,May,Average DO%,Site 15,85.75
2005,December,Average DO%,Site 13,94.3
2005,November,Average DO%,Site 13,83.8
2005,October,Average DO%,Site 13,140.9333333
2005,September,Average DO%,Site 13,89.36666667
2005,August,Average DO%,Site 13,
2005,July,Average DO%,Site 13,90.6
2005,June,Average DO%,Site 13,96.63333333
2005,May,Average DO%,Site 13,98.45
2005,December,Average DO%,Site 12,87.7
2005,November,Average DO%,Site 12,89.96666667
2005,October,Average DO%,Site 12,86.56666667
2005,September,Average DO%,Site 12,98.06666667
2005,August,Average DO%,Site 12,
2005,July,Average DO%,Site 12,91.1
2005,June,Average DO%,Site 12,95.46666667
2005,May,Average DO%,Site 12,89.26666667
2005,December,Average DO%,Site 11,78.9
2005,November,Average DO%,Site 11,81.2
2005,October,Average DO%,Site 11,92.26666667
2005,September,Average DO%,Site 11,91
2005,August,Average DO%,Site 11,
2005,July,Average DO%,Site 11,96
2005,June,Average DO%,Site 11,93.5
2005,May,Average DO%,Site 11,88.96666667
2005,December,Average DO%,Site 10,109.8666667
2005,November,Average DO%,Site 10,106.1666667
2005,October,Average DO%,Site 10,89.1
2005,September,Average DO%,Site 10,120.9
2005,August,Average DO%,Site 10,
2005,July,Average DO%,Site 10,106.8
2005,June,Average DO%,Site 10,98.73333333
2005,May,Average DO%,Site 10,103.8666667
2005,December,Average DO%,Site 09,97
2005,November,Average DO%,Site 09,99.23333333
2005,October,Average DO%,Site 09,101.7333333
2005,September,Average DO%,Site 09,105.1666667
2005,August,Average DO%,Site 09,
2005,July,Average DO%,Site 09,107.4333333
2005,June,Average DO%,Site 09,106.4333333
2005,May,Average DO%,Site 09,100.3333333
2005,December,Average DO%,Site 08,101.7666667
2005,November,Average DO%,Site 08,108.1
2005,October,Average DO%,Site 08,142.5666667
2005,September,Average DO%,Site 08,112.7666667
2005,August,Average DO%,Site 08,
2005,July,Average DO%,Site 08,162.1
2005,June,Average DO%,Site 08,95.53333333
2005,May,Average DO%,Site 08,
2005,December,Average DO%,Site 07,98
2005,November,Average DO%,Site 07,94.5
2005,October,Average DO%,Site 07,94.73333333
2005,September,Average DO%,Site 07,102.8
2005,August,Average DO%,Site 07,
2005,July,Average DO%,Site 07,91.66666667
2005,June,Average DO%,Site 07,95.06666667
2005,May,Average DO%,Site 07,152.9333333
2005,December,Average DO%,Site 06,218.1333334
2005,November,Average DO%,Site 06,82.8
2005,October,Average DO%,Site 06,57.66666667
2005,September,Average DO%,Site 06,95.7
2005,August,Average DO%,Site 06,
2005,July,Average DO%,Site 06,
2005,June,Average DO%,Site 06,96.6
2005,May,Average DO%,Site 06,95.86666667
2005,December,Average DO%,Site 05,
2005,November,Average DO%,Site 05,83.63333333
2005,October,Average DO%,Site 05,75.4
2005,September,Average DO%,Site 05,87.5
2005,August,Average DO%,Site 05,
2005,July,Average DO%,Site 05,95.23333333
2005,June,Average DO%,Site 05,87.9
2005,May,Average DO%,Site 05,86.2
2005,December,Average DO%,Site 04,109.4333333
2005,November,Average DO%,Site 04,98.36666667
2005,October,Average DO%,Site 04,96.6
2005,September,Average DO%,Site 04,106.0333333
2005,August,Average DO%,Site 04,
2005,July,Average DO%,Site 04,92.56666667
2005,June,Average DO%,Site 04,90.16666667
2005,May,Average DO%,Site 04,91.9
2005,December,Average DO%,Site 03,
2005,November,Average DO%,Site 03,48.83333333
2005,October,Average DO%,Site 03,91.13333333
2005,September,Average DO%,Site 03,94.46666667
2005,August,Average DO%,Site 03,
2005,July,Average DO%,Site 03,91.53333333
2005,June,Average DO%,Site 03,88.6
2005,May,Average DO%,Site 03,109
2005,December,Average DO%,Site 02,92.33333333
2005,November,Average DO%,Site 02,93.1
2005,October,Average DO%,Site 02,90.36666667
2005,September,Average DO%,Site 02,89.43333333
2005,August,Average DO%,Site 02,
2005,July,Average DO%,Site 02,93.93333333
2005,June,Average DO%,Site 02,97.66666667
2005,May,Average DO%,Site 02,89.7
2005,December,Average DO%,Site 01,126.0666667
2005,November,Average DO%,Site 01,95.26666667
2005,October,Average DO%,Site 01,97.43333333
2005,September,Average DO%,Site 01,143.2666667
2005,August,Average DO%,Site 01,
2005,July,Average DO%,Site 01,86.96666667
2005,June,Average DO%,Site 01,90.5
2005,May,Average DO%,Site 01,133.3
2005,December,Average H2O temperature (Celcius),Site 16,6
2005,November,Average H2O temperature (Celcius),Site 16,9.25
2005,October,Average H2O temperature (Celcius),Site 16,13.76666667
2005,September,Average H2O temperature (Celcius),Site 16,15.88333333
2005,August,Average H2O temperature (Celcius),Site 16,21.61666667
2005,July,Average H2O temperature (Celcius),Site 16,24.9
2005,June,Average H2O temperature (Celcius),Site 16,42.9
2005,December,Average H2O temperature (Celcius),Site 15,5.733333333
2005,November,Average H2O temperature (Celcius),Site 15,10.16666667
2005,October,Average H2O temperature (Celcius),Site 15,11
2005,September,Average H2O temperature (Celcius),Site 15,15.73333333
2005,August,Average H2O temperature (Celcius),Site 15,18.31666667
2005,July,Average H2O temperature (Celcius),Site 15,21.15
2005,June,Average H2O temperature (Celcius),Site 15,14.18333333
2005,May,Average H2O temperature (Celcius),Site 15,14.78
2005,December,Average H2O temperature (Celcius),Site 13,4.916666667
2005,November,Average H2O temperature (Celcius),Site 13,7.666666667
2005,October,Average H2O temperature (Celcius),Site 13,9.4
2005,September,Average H2O temperature (Celcius),Site 13,10.56666667
2005,August,Average H2O temperature (Celcius),Site 13,13.61666667
2005,July,Average H2O temperature (Celcius),Site 13,14.95
2005,June,Average H2O temperature (Celcius),Site 13,11.46666667
2005,May,Average H2O temperature (Celcius),Site 13,9.3
2005,December,Average H2O temperature (Celcius),Site 12,5.75
2005,November,Average H2O temperature (Celcius),Site 12,8.683333333
2005,October,Average H2O temperature (Celcius),Site 12,12.26666667
2005,September,Average H2O temperature (Celcius),Site 12,12.31666667
2005,August,Average H2O temperature (Celcius),Site 12,16.36666667
2005,July,Average H2O temperature (Celcius),Site 12,17.75
2005,June,Average H2O temperature (Celcius),Site 12,14.55
2005,May,Average H2O temperature (Celcius),Site 12,10.26666667
2005,December,Average H2O temperature (Celcius),Site 11,5.433333333
2005,November,Average H2O temperature (Celcius),Site 11,8.716666667
2005,October,Average H2O temperature (Celcius),Site 11,12.2
2005,September,Average H2O temperature (Celcius),Site 11,12.36666667
2005,August,Average H2O temperature (Celcius),Site 11,15.75
2005,July,Average H2O temperature (Celcius),Site 11,15.9
2005,June,Average H2O temperature (Celcius),Site 11,13.16666667
2005,May,Average H2O temperature (Celcius),Site 11,10.61666667
2005,December,Average H2O temperature (Celcius),Site 10,5.25
2005,November,Average H2O temperature (Celcius),Site 10,9.216666667
2005,October,Average H2O temperature (Celcius),Site 10,14.43333333
2005,September,Average H2O temperature (Celcius),Site 10,20
2005,August,Average H2O temperature (Celcius),Site 10,21.71666667
2005,July,Average H2O temperature (Celcius),Site 10,25.28333333
2005,June,Average H2O temperature (Celcius),Site 10,18.76666667
2005,May,Average H2O temperature (Celcius),Site 10,15.95
2005,December,Average H2O temperature (Celcius),Site 09,7.15
2005,November,Average H2O temperature (Celcius),Site 09,11.55
2005,October,Average H2O temperature (Celcius),Site 09,14.86666667
2005,September,Average H2O temperature (Celcius),Site 09,16.65
2005,August,Average H2O temperature (Celcius),Site 09,22.48333333
2005,July,Average H2O temperature (Celcius),Site 09,26.2
2005,June,Average H2O temperature (Celcius),Site 09,22.05
2005,May,Average H2O temperature (Celcius),Site 09,17.335
2005,December,Average H2O temperature (Celcius),Site 08,7.6
2005,November,Average H2O temperature (Celcius),Site 08,12.31666667
2005,October,Average H2O temperature (Celcius),Site 08,17.4
2005,September,Average H2O temperature (Celcius),Site 08,22.16666667
2005,August,Average H2O temperature (Celcius),Site 08,26.8
2005,July,Average H2O temperature (Celcius),Site 08,30.81666667
2005,June,Average H2O temperature (Celcius),Site 08,24.3
2005,May,Average H2O temperature (Celcius),Site 08,18.13333333
2005,December,Average H2O temperature (Celcius),Site 07,10.35
2005,November,Average H2O temperature (Celcius),Site 07,13.9
2005,October,Average H2O temperature (Celcius),Site 07,17.98333333
2005,September,Average H2O temperature (Celcius),Site 07,20.75
2005,August,Average H2O temperature (Celcius),Site 07,24.25
2005,July,Average H2O temperature (Celcius),Site 07,26.05
2005,June,Average H2O temperature (Celcius),Site 07,19.68333333
2005,May,Average H2O temperature (Celcius),Site 07,19.7
2005,December,Average H2O temperature (Celcius),Site 06,5.333333334
2005,November,Average H2O temperature (Celcius),Site 06,9.35
2005,October,Average H2O temperature (Celcius),Site 06,12.51666667
2005,September,Average H2O temperature (Celcius),Site 06,15.28333333
2005,August,Average H2O temperature (Celcius),Site 06,20.08333333
2005,July,Average H2O temperature (Celcius),Site 06,24.06666667
2005,June,Average H2O temperature (Celcius),Site 06,19.56666667
2005,May,Average H2O temperature (Celcius),Site 06,11.91666667
2005,December,Average H2O temperature (Celcius),Site 05,18.33333333
2005,November,Average H2O temperature (Celcius),Site 05,8.133333333
2005,October,Average H2O temperature (Celcius),Site 05,9.45
2005,September,Average H2O temperature (Celcius),Site 05,12.43333333
2005,August,Average H2O temperature (Celcius),Site 05,16.2
2005,July,Average H2O temperature (Celcius),Site 05,24.33333333
2005,June,Average H2O temperature (Celcius),Site 05,12.75
2005,May,Average H2O temperature (Celcius),Site 05,12.13333333
2005,December,Average H2O temperature (Celcius),Site 04,7.4
2005,November,Average H2O temperature (Celcius),Site 04,10.5
2005,October,Average H2O temperature (Celcius),Site 04,11.56666667
2005,September,Average H2O temperature (Celcius),Site 04,10.71666667
2005,August,Average H2O temperature (Celcius),Site 04,13.96666667
2005,July,Average H2O temperature (Celcius),Site 04,15.5
2005,June,Average H2O temperature (Celcius),Site 04,16.6
2005,May,Average H2O temperature (Celcius),Site 04,10.9
2005,December,Average H2O temperature (Celcius),Site 03,4.766666667
2005,November,Average H2O temperature (Celcius),Site 03,8.18
2005,October,Average H2O temperature (Celcius),Site 03,11.25
2005,September,Average H2O temperature (Celcius),Site 03,11.8
2005,August,Average H2O temperature (Celcius),Site 03,12.55
2005,July,Average H2O temperature (Celcius),Site 03,15.1
2005,June,Average H2O temperature (Celcius),Site 03,12.31666667
2005,May,Average H2O temperature (Celcius),Site 03,10.15
2005,December,Average H2O temperature (Celcius),Site 02,5.083333333
2005,November,Average H2O temperature (Celcius),Site 02,8.45
2005,October,Average H2O temperature (Celcius),Site 02,10.45
2005,September,Average H2O temperature (Celcius),Site 02,11.35
2005,August,Average H2O temperature (Celcius),Site 02,13.43333333
2005,July,Average H2O temperature (Celcius),Site 02,15.86666667
2005,June,Average H2O temperature (Celcius),Site 02,16.73333333
2005,May,Average H2O temperature (Celcius),Site 02,10.31666667
2005,December,Average H2O temperature (Celcius),Site 01,4.025
2005,November,Average H2O temperature (Celcius),Site 01,6.5
2005,October,Average H2O temperature (Celcius),Site 01,10.76666667
2005,September,Average H2O temperature (Celcius),Site 01,10.91666667
2005,August,Average H2O temperature (Celcius),Site 01,13.43333333
2005,July,Average H2O temperature (Celcius),Site 01,14.48333333
2005,June,Average H2O temperature (Celcius),Site 01,10.3
2005,May,Average H2O temperature (Celcius),Site 01,8.466666667
2005,December,Average NO3 (ppm),Site 16,0.17
2005,November,Average NO3 (ppm),Site 16,0.006666667
2005,October,Average NO3 (ppm),Site 16,0.013333333
2005,September,Average NO3 (ppm),Site 16,0
2005,August,Average NO3 (ppm),Site 16,0.04
2005,July,Average NO3 (ppm),Site 16,0.06
2005,June,Average NO3 (ppm),Site 16,0.186666667
2005,December,Average NO3 (ppm),Site 15,0.203333333
2005,November,Average NO3 (ppm),Site 15,0.1
2005,October,Average NO3 (ppm),Site 15,0.096666667
2005,September,Average NO3 (ppm),Site 15,0.053333333
2005,August,Average NO3 (ppm),Site 15,0.1
2005,July,Average NO3 (ppm),Site 15,0.153333333
2005,June,Average NO3 (ppm),Site 15,0.11
2005,May,Average NO3 (ppm),Site 15,0.133333333
2005,December,Average NO3 (ppm),Site 13,0.04
2005,November,Average NO3 (ppm),Site 13,0.016666667
2005,October,Average NO3 (ppm),Site 13,0.073333333
2005,September,Average NO3 (ppm),Site 13,0.12
2005,August,Average NO3 (ppm),Site 13,0.066666667
2005,July,Average NO3 (ppm),Site 13,0.096666667
2005,June,Average NO3 (ppm),Site 13,0.073333333
2005,May,Average NO3 (ppm),Site 13,0.07
2005,December,Average NO3 (ppm),Site 12,0.103333333
2005,November,Average NO3 (ppm),Site 12,0.036666667
2005,October,Average NO3 (ppm),Site 12,0.073333333
2005,September,Average NO3 (ppm),Site 12,0.096666667
2005,August,Average NO3 (ppm),Site 12,0.096666667
2005,July,Average NO3 (ppm),Site 12,0.09
2005,June,Average NO3 (ppm),Site 12,0.09
2005,May,Average NO3 (ppm),Site 12,0.043333333
2005,December,Average NO3 (ppm),Site 11,0.076666667
2005,November,Average NO3 (ppm),Site 11,0.026666667
2005,October,Average NO3 (ppm),Site 11,0.103333333
2005,September,Average NO3 (ppm),Site 11,0.15
2005,August,Average NO3 (ppm),Site 11,0.133333333
2005,July,Average NO3 (ppm),Site 11,0.183333333
2005,June,Average NO3 (ppm),Site 11,0.106666667
2005,May,Average NO3 (ppm),Site 11,0.09
2005,December,Average NO3 (ppm),Site 10,1.07
2005,November,Average NO3 (ppm),Site 10,0.97
2005,October,Average NO3 (ppm),Site 10,2.4
2005,September,Average NO3 (ppm),Site 10,1.763333333
2005,August,Average NO3 (ppm),Site 10,2.066666667
2005,July,Average NO3 (ppm),Site 10,2.636666667
2005,June,Average NO3 (ppm),Site 10,0.646666667
2005,May,Average NO3 (ppm),Site 10,0.086666667
2005,December,Average NO3 (ppm),Site 09,0.973333333
2005,November,Average NO3 (ppm),Site 09,2.58
2005,October,Average NO3 (ppm),Site 09,3.266666667
2005,September,Average NO3 (ppm),Site 09,3.84
2005,August,Average NO3 (ppm),Site 09,2.063333333
2005,July,Average NO3 (ppm),Site 09,3.18
2005,June,Average NO3 (ppm),Site 09,0.386666667
2005,May,Average NO3 (ppm),Site 09,0.166666667
2005,December,Average NO3 (ppm),Site 08,0.656666667
2005,November,Average NO3 (ppm),Site 08,2.903333333
2005,October,Average NO3 (ppm),Site 08,3.486666667
2005,September,Average NO3 (ppm),Site 08,3.153333333
2005,August,Average NO3 (ppm),Site 08,2.466666667
